firstName,lastName,attempts,completions,interceptions,touchdowns,yards,whenPlayed,ourTeam,ourScore,theirTeam,theirScore
Herbert,Hoover,30,6,1,0,29,2010-03-24,Boise Bearcats,7,Modesto Misanthropes,17
Herbert,Hoover,24,4,1,1,18,2010-03-31,Boise Bearcats,15,Fremont Firebugs,0
Chet,Arthur,14,9,0,1,128,2010-03-31,Boise Bearcats,15,Fremont Firebugs,0
Herbert,Hoover,29,6,1,0,26,2010-04-07,Boise Bearcats,14,Montgomery Music,31
Chet,Arthur,5,3,0,1,36,2010-04-07,Boise Bearcats,14,Montgomery Music,31
Herbert,Hoover,25,7,1,0,36,2010-04-14,Boise Bearcats,12,Spokane Stallions,35
Chet,Arthur,8,5,0,0,57,2010-04-14,Boise Bearcats,12,Spokane Stallions,35
Herbert,Hoover,32,9,1,0,45,2010-04-21,Boise Bearcats,0,Richmond Roustabouts,14
Herbert,Hoover,27,7,1,0,36,2010-04-28,Boise Bearcats,0,Yonkers Yellowjackets,23
Herbert,Hoover,23,8,1,1,37,2010-05-05,Boise Bearcats,15,Shreveport Seamen,27
Chet,Arthur,2,1,0,1,12,2010-05-05,Boise Bearcats,15,Shreveport Seamen,27
Herbert,Hoover,26,8,1,0,39,2010-05-12,Boise Bearcats,4,San Bernardino Stalkers,21
Herbert,Hoover,23,5,1,1,25,2010-05-19,Boise Bearcats,24,Tacoma Touchdown-Scorers,16
Chet,Arthur,3,1,0,1,10,2010-05-19,Boise Bearcats,24,Tacoma Touchdown-Scorers,16
Herbert,Hoover,39,13,1,1,68,2010-05-26,Boise Bearcats,10,Glendale Centers,27
Herbert,Hoover,27,7,1,1,29,2010-06-02,Boise Bearcats,17,Des Moines Desperadoes,31
Chet,Arthur,1,0,0,0,0,2010-06-02,Boise Bearcats,17,Des Moines Desperadoes,31
Herbert,Hoover,24,8,1,1,42,2010-06-09,Boise Bearcats,11,Augusta Autocrats,31
Chet,Arthur,4,2,0,0,21,2010-06-09,Boise Bearcats,11,Augusta Autocrats,31
Herbert,Hoover,28,6,1,1,30,2010-06-16,Boise Bearcats,9,Grand Rapids Gamers,21
Chet,Arthur,2,1,0,0,12,2010-06-16,Boise Bearcats,9,Grand Rapids Gamers,21
Herbert,Hoover,39,8,1,1,37,2010-06-23,Boise Bearcats,12,Huntington Beach Harriers,13
Herbert,Hoover,22,6,1,0,33,2010-06-30,Boise Bearcats,8,Mobile Misfits,38
Chet,Arthur,13,7,0,0,81,2010-06-30,Boise Bearcats,8,Mobile Misfits,38
George,Washington,39,26,0,3,344,2010-03-24,Modesto Misanthropes,26,Fremont Firebugs,27
George,Washington,21,13,0,2,139,2010-03-31,Modesto Misanthropes,22,Montgomery Music,13
William,McKinley,3,2,0,0,27,2010-03-31,Modesto Misanthropes,22,Montgomery Music,13
George,Washington,33,19,0,3,205,2010-04-07,Modesto Misanthropes,24,Spokane Stallions,16
George,Washington,29,15,0,3,188,2010-04-14,Modesto Misanthropes,24,Richmond Roustabouts,34
William,McKinley,1,0,0,0,0,2010-04-14,Modesto Misanthropes,24,Richmond Roustabouts,34
George,Washington,20,11,0,2,125,2010-04-21,Modesto Misanthropes,26,Yonkers Yellowjackets,41
William,McKinley,8,4,0,1,46,2010-04-21,Modesto Misanthropes,26,Yonkers Yellowjackets,41
George,Washington,20,12,0,1,173,2010-04-28,Modesto Misanthropes,9,Shreveport Seamen,24
William,McKinley,4,1,0,0,12,2010-04-28,Modesto Misanthropes,9,Shreveport Seamen,24
George,Washington,25,15,0,2,204,2010-05-05,Modesto Misanthropes,25,San Bernardino Stalkers,27
George,Washington,21,13,0,1,143,2010-05-12,Modesto Misanthropes,22,Tacoma Touchdown-Scorers,27
William,McKinley,3,2,0,1,24,2010-05-12,Modesto Misanthropes,22,Tacoma Touchdown-Scorers,27
George,Washington,27,19,0,3,235,2010-05-19,Modesto Misanthropes,29,Glendale Centers,16
William,McKinley,9,5,0,0,63,2010-05-19,Modesto Misanthropes,29,Glendale Centers,16
George,Washington,38,22,0,4,282,2010-05-26,Modesto Misanthropes,34,Des Moines Desperadoes,31
George,Washington,39,25,0,4,303,2010-06-02,Modesto Misanthropes,28,Augusta Autocrats,28
George,Washington,25,13,0,2,161,2010-06-09,Modesto Misanthropes,23,Grand Rapids Gamers,24
George,Washington,29,21,0,3,224,2010-06-16,Modesto Misanthropes,30,Huntington Beach Harriers,44
George,Washington,23,14,0,1,179,2010-06-23,Modesto Misanthropes,15,Mobile Misfits,30
William,McKinley,2,1,0,0,12,2010-06-23,Modesto Misanthropes,15,Mobile Misfits,30
George,Washington,30,21,0,2,226,2010-06-30,Modesto Misanthropes,16,Boise Bearcats,24
Sam,Grant,16,11,0,1,136,2010-03-24,Fremont Firebugs,22,Montgomery Music,9
Lyndon,Johnson,9,4,1,1,24,2010-03-24,Fremont Firebugs,22,Montgomery Music,9
Sam,Grant,32,20,0,2,249,2010-03-31,Fremont Firebugs,15,Spokane Stallions,44
Sam,Grant,24,14,0,3,204,2010-04-07,Fremont Firebugs,21,Richmond Roustabouts,28
Lyndon,Johnson,2,0,1,0,0,2010-04-07,Fremont Firebugs,21,Richmond Roustabouts,28
Sam,Grant,25,18,0,2,242,2010-04-14,Fremont Firebugs,22,Yonkers Yellowjackets,6
Sam,Grant,31,19,0,4,268,2010-04-21,Fremont Firebugs,37,Shreveport Seamen,14
Sam,Grant,37,27,0,5,363,2010-04-28,Fremont Firebugs,35,San Bernardino Stalkers,34
Sam,Grant,28,16,0,2,213,2010-05-05,Fremont Firebugs,17,Tacoma Touchdown-Scorers,38
Sam,Grant,25,16,0,3,243,2010-05-12,Fremont Firebugs,27,Glendale Centers,10
Sam,Grant,36,23,0,4,346,2010-05-19,Fremont Firebugs,34,Des Moines Desperadoes,14
Sam,Grant,33,20,0,4,275,2010-05-26,Fremont Firebugs,37,Augusta Autocrats,14
Sam,Grant,28,17,0,4,275,2010-06-02,Fremont Firebugs,38,Grand Rapids Gamers,38
Lyndon,Johnson,9,2,1,1,12,2010-06-02,Fremont Firebugs,38,Grand Rapids Gamers,38
Sam,Grant,36,22,0,3,335,2010-06-09,Fremont Firebugs,26,Huntington Beach Harriers,35
Sam,Grant,26,16,0,3,226,2010-06-16,Fremont Firebugs,31,Mobile Misfits,9
Sam,Grant,32,21,0,3,271,2010-06-23,Fremont Firebugs,31,Boise Bearcats,13
Sam,Grant,36,24,0,4,302,2010-06-30,Fremont Firebugs,29,Modesto Misanthropes,7
Martin,Van Buren,20,11,0,2,160,2010-03-24,Montgomery Music,31,Spokane Stallions,31
Jimmy,Carter,10,4,0,1,33,2010-03-24,Montgomery Music,31,Spokane Stallions,31
Martin,Van Buren,29,16,0,2,229,2010-03-31,Montgomery Music,17,Richmond Roustabouts,23
Martin,Van Buren,34,20,1,4,294,2010-04-07,Montgomery Music,28,Yonkers Yellowjackets,14
Martin,Van Buren,33,19,0,2,242,2010-04-14,Montgomery Music,26,Shreveport Seamen,41
Martin,Van Buren,37,21,0,3,251,2010-04-21,Montgomery Music,22,San Bernardino Stalkers,31
Martin,Van Buren,37,21,0,3,308,2010-04-28,Montgomery Music,27,Tacoma Touchdown-Scorers,13
Martin,Van Buren,22,12,0,1,164,2010-05-05,Montgomery Music,16,Glendale Centers,10
Jimmy,Carter,3,1,0,0,8,2010-05-05,Montgomery Music,16,Glendale Centers,10
Martin,Van Buren,26,15,0,1,188,2010-05-12,Montgomery Music,20,Des Moines Desperadoes,44
Jimmy,Carter,9,4,0,1,33,2010-05-12,Montgomery Music,20,Des Moines Desperadoes,44
Martin,Van Buren,19,11,0,2,127,2010-05-19,Montgomery Music,21,Augusta Autocrats,14
Jimmy,Carter,9,4,0,1,33,2010-05-19,Montgomery Music,21,Augusta Autocrats,14
Martin,Van Buren,25,14,0,2,168,2010-05-26,Montgomery Music,26,Grand Rapids Gamers,44
Jimmy,Carter,9,4,0,1,38,2010-05-26,Montgomery Music,26,Grand Rapids Gamers,44
Martin,Van Buren,27,15,0,2,210,2010-06-02,Montgomery Music,19,Huntington Beach Harriers,6
Martin,Van Buren,30,20,0,3,267,2010-06-09,Montgomery Music,26,Mobile Misfits,44
Jimmy,Carter,1,0,0,0,0,2010-06-09,Montgomery Music,26,Mobile Misfits,44
Martin,Van Buren,17,9,0,1,95,2010-06-16,Montgomery Music,17,Boise Bearcats,38
Jimmy,Carter,10,4,0,0,30,2010-06-16,Montgomery Music,17,Boise Bearcats,38
Martin,Van Buren,27,18,0,2,190,2010-06-23,Montgomery Music,24,Modesto Misanthropes,23
Jimmy,Carter,6,3,0,1,25,2010-06-23,Montgomery Music,24,Modesto Misanthropes,23
Martin,Van Buren,39,20,0,2,234,2010-06-30,Montgomery Music,16,Fremont Firebugs,0
Jack,Kennedy,31,16,0,1,154,2010-03-24,Spokane Stallions,19,Richmond Roustabouts,9
Jack,Kennedy,38,25,0,3,305,2010-03-31,Spokane Stallions,25,Yonkers Yellowjackets,38
Jack,Kennedy,35,22,0,3,213,2010-04-07,Spokane Stallions,24,Shreveport Seamen,31
Jack,Kennedy,30,17,0,2,214,2010-04-14,Spokane Stallions,19,San Bernardino Stalkers,10
Jack,Kennedy,25,15,0,2,191,2010-04-21,Spokane Stallions,23,Tacoma Touchdown-Scorers,28
George,Bush,4,2,0,0,22,2010-04-21,Spokane Stallions,23,Tacoma Touchdown-Scorers,28
Jack,Kennedy,25,13,0,2,167,2010-04-28,Spokane Stallions,19,Glendale Centers,28
Jack,Kennedy,28,15,0,1,196,2010-05-05,Spokane Stallions,18,Des Moines Desperadoes,23
Jack,Kennedy,30,18,0,2,194,2010-05-12,Spokane Stallions,24,Augusta Autocrats,41
Jack,Kennedy,37,24,0,2,299,2010-05-19,Spokane Stallions,23,Grand Rapids Gamers,31
Jack,Kennedy,25,13,0,1,150,2010-05-26,Spokane Stallions,8,Huntington Beach Harriers,14
Jack,Kennedy,35,22,0,3,233,2010-06-02,Spokane Stallions,26,Mobile Misfits,27
Jack,Kennedy,33,21,0,3,237,2010-06-09,Spokane Stallions,30,Boise Bearcats,16
Jack,Kennedy,39,20,0,1,206,2010-06-16,Spokane Stallions,7,Modesto Misanthropes,6
Jack,Kennedy,31,15,0,1,166,2010-06-23,Spokane Stallions,11,Fremont Firebugs,3
